code	legality	section	field	text
E12.10	ENTRY-LEGAL	B. Volume & Aggression Flow	buy_vol	Buy-share slope over trailing 5 buckets
E13.01	ENTRY-LEGAL	B. Volume & Aggression Flow	sell_vol	Sell share: sell_vol / curr_vol
E13.02	ENTRY-LEGAL	B. Volume & Aggression Flow	sell_vol	Sell z-score / percentile
E13.03	ENTRY-LEGAL	B. Volume & Aggression Flow	sell_vol	Sell-dominance streak
E13.04	ENTRY-LEGAL	B. Volume & Aggression Flow	sell_vol	Change in sell share vs prior bucket
E13.05	ENTRY-LEGAL	B. Volume & Aggression Flow	sell_vol	Sell volume per second
E13.06	ENTRY-LEGAL	B. Volume & Aggression Flow	sell_vol	Day-rank of sell volume
E13.07	ENTRY-LEGAL	B. Volume & Aggression Flow	sell_vol	Extreme-sell flag: top decile (Y/N)
E13.08	ENTRY-LEGAL	B. Volume & Aggression Flow	sell_vol	Log sell volume
E13.09	ENTRY-LEGAL	B. Volume & Aggression Flow	sell_vol	Sell share vs same-hour norm
E13.10	ENTRY-LEGAL	B. Volume & Aggression Flow	sell_vol	Sell-share slope over trailing 5 buckets
E14.01	ENTRY-LEGAL	B. Volume & Aggression Flow	delta	Sign and magnitude
E14.02	ENTRY-LEGAL	B. Volume & Aggression Flow	delta	Delta as % of volume
E14.03	ENTRY-LEGAL	B. Volume & Aggression Flow	delta	Delta z-score / percentile
E14.04	ENTRY-LEGAL	B. Volume & Aggression Flow	delta	Same-sign delta streak (pressure persistence)
E14.05	ENTRY-LEGAL	B. Volume & Aggression Flow	delta	Delta FLIP flag vs prior bucket (Y/N)
E14.06	ENTRY-LEGAL	B. Volume & Aggression Flow	delta	Delta acceleration (this vs prior magnitude)
E14.07	ENTRY-LEGAL	B. Volume & Aggression Flow	delta	Trailing-N cumulative delta (bucket CVD)
E14.08	ENTRY-LEGAL	B. Volume & Aggression Flow	delta	Delta vs price divergence flag (delta up, close down / inverse)
E14.09	ENTRY-LEGAL	B. Volume & Aggression Flow	delta	Day-rank of abs(delta)
E14.10	ENTRY-LEGAL	B. Volume & Aggression Flow	delta	Intrabucket delta path min/max (6h tape)
E15.01	ENTRY-LEGAL	B. Volume & Aggression Flow	delta fraction	Raw fraction
E15.02	ENTRY-LEGAL	B. Volume & Aggression Flow	delta fraction	ONE-SIDED flag: > 0.55 (Y/N)
E15.03	ENTRY-LEGAL	B. Volume & Aggression Flow	delta fraction	BALANCED flag: < 0.10 (Y/N)
E15.04	ENTRY-LEGAL	B. Volume & Aggression Flow	delta fraction	Percentile / z vs window
E15.05	ENTRY-LEGAL	B. Volume & Aggression Flow	delta fraction	One-sidedness streak
E15.06	ENTRY-LEGAL	B. Volume & Aggression Flow	delta fraction	Alignment with body fraction (initiative translated?)
E15.07	ENTRY-LEGAL	B. Volume & Aggression Flow	delta fraction	Fraction regime mean (trailing)
E15.08	ENTRY-LEGAL	B. Volume & Aggression Flow	delta fraction	Session rank of one-sidedness
E15.09	ENTRY-LEGAL	B. Volume & Aggression Flow	delta fraction	Fraction x volume interaction (one-sided AND heavy)
E15.10	ENTRY-LEGAL	B. Volume & Aggression Flow	delta fraction	DELTA ramp value fed to the state engine
E16.01	ENTRY-LEGAL	C. Open-Interest Attribution (Step 19)	opL	opL / vol fraction
E16.02	ENTRY-LEGAL	C. Open-Interest Attribution (Step 19)	opL	z-score / percentile vs window
E16.03	ENTRY-LEGAL	C. Open-Interest Attribution (Step 19)	opL	FRESH-LONG-WAVE flag: fraction > 0.30 (Y/N)
E16.04	ENTRY-LEGAL	C. Open-Interest Attribution (Step 19)	opL	opL streak (persistent long initiative)
E16.05	ENTRY-LEGAL	C. Open-Interest Attribution (Step 19)	opL	opL vs opS dominance ratio
E16.06	ENTRY-LEGAL	C. Open-Interest Attribution (Step 19)	opL	Day-rank of opL
E16.07	ENTRY-LEGAL	C. Open-Interest Attribution (Step 19)	opL	opL into highs vs into lows (location context)
E16.08	ENTRY-LEGAL	C. Open-Interest Attribution (Step 19)	opL	opL acceleration vs prior bucket
E16.09	ENTRY-LEGAL	C. Open-Interest Attribution (Step 19)	opL	Share of total opens (opL/(opL+opS))
E16.10	ENTRY-LEGAL	C. Open-Interest Attribution (Step 19)	opL	TRAP-FUEL candidate: heavy opL into a failed upside break
E17.01	ENTRY-LEGAL	C. Open-Interest Attribution (Step 19)	opS	opS / vol fraction
E17.02	ENTRY-LEGAL	C. Open-Interest Attribution (Step 19)	opS	z-score / percentile
E17.03	ENTRY-LEGAL	C. Open-Interest Attribution (Step 19)	opS	FRESH-SHORT-WAVE flag: fraction > 0.30 (Y/N)
E17.04	ENTRY-LEGAL	C. Open-Interest Attribution (Step 19)	opS	opS streak
E17.05	ENTRY-LEGAL	C. Open-Interest Attribution (Step 19)	opS	opS vs opL dominance ratio
E17.06	ENTRY-LEGAL	C. Open-Interest Attribution (Step 19)	opS	Day-rank of opS
E17.07	ENTRY-LEGAL	C. Open-Interest Attribution (Step 19)	opS	opS into lows vs into highs (location context)
E17.08	ENTRY-LEGAL	C. Open-Interest Attribution (Step 19)	opS	opS acceleration
E17.09	ENTRY-LEGAL	C. Open-Interest Attribution (Step 19)	opS	Share of total opens
E17.10	ENTRY-LEGAL	C. Open-Interest Attribution (Step 19)	opS	TRAP-FUEL candidate: heavy opS into a failed downside break
E18.01	ENTRY-LEGAL	C. Open-Interest Attribution (Step 19)	clL	clL / vol fraction
E18.02	ENTRY-LEGAL	C. Open-Interest Attribution (Step 19)	clL	z / percentile
E18.03	ENTRY-LEGAL	C. Open-Interest Attribution (Step 19)	clL	LONG-CAPITULATION flag: heavy clL into lows (Y/N)
E18.04	ENTRY-LEGAL	C. Open-Interest Attribution (Step 19)	clL	clL streak (sustained unwind)
E18.05	ENTRY-LEGAL	C. Open-Interest Attribution (Step 19)	clL	Long-cohort net: opL - clL (cohort building or leaving)
E18.06	ENTRY-LEGAL	C. Open-Interest Attribution (Step 19)	clL	Share of total closes (clL/(clL+clS))
E18.07	ENTRY-LEGAL	C. Open-Interest Attribution (Step 19)	clL	clL acceleration
E18.08	ENTRY-LEGAL	C. Open-Interest Attribution (Step 19)	clL	Day-rank of clL
E18.09	ENTRY-LEGAL	C. Open-Interest Attribution (Step 19)	clL	clL at NEW low flag (puke print)
E18.10	ENTRY-LEGAL	C. Open-Interest Attribution (Step 19)	clL	Closing-flow ramp contribution (CLOSE_FLOW 0.15-0.50)
E19.01	ENTRY-LEGAL	C. Open-Interest Attribution (Step 19)	clS	clS / vol fraction
E19.02	ENTRY-LEGAL	C. Open-Interest Attribution (Step 19)	clS	z / percentile
E19.03	ENTRY-LEGAL	C. Open-Interest Attribution (Step 19)	clS	SHORT-COVER-POP flag: heavy clS into highs (Y/N)
E19.04	ENTRY-LEGAL	C. Open-Interest Attribution (Step 19)	clS	clS streak
E19.05	ENTRY-LEGAL	C. Open-Interest Attribution (Step 19)	clS	Short-cohort net: opS - clS
E19.06	ENTRY-LEGAL	C. Open-Interest Attribution (Step 19)	clS	Share of total closes
E19.07	ENTRY-LEGAL	C. Open-Interest Attribution (Step 19)	clS	clS acceleration
E19.08	ENTRY-LEGAL	C. Open-Interest Attribution (Step 19)	clS	Day-rank of clS
E19.09	ENTRY-LEGAL	C. Open-Interest Attribution (Step 19)	clS	clS at NEW high flag (forced-out print)
E19.10	ENTRY-LEGAL	C. Open-Interest Attribution (Step 19)	clS	Closing-flow ramp contribution
E20.01	ENTRY-LEGAL	C. Open-Interest Attribution (Step 19)	churn	churn / vol fraction
E20.02	ENTRY-LEGAL	C. Open-Interest Attribution (Step 19)	churn	ROTATION flag: fraction > 0.55 (CHURN ramp) (Y/N)
E20.03	ENTRY-LEGAL	C. Open-Interest Attribution (Step 19)	churn	z / percentile
E20.04	ENTRY-LEGAL	C. Open-Interest Attribution (Step 19)	churn	High-churn streak
E20.05	ENTRY-LEGAL	C. Open-Interest Attribution (Step 19)	churn	Churn regime mean (trailing)
E20.06	ENTRY-LEGAL	C. Open-Interest Attribution (Step 19)	churn	Churn x moved interaction: transfer that MOVED price (markdown/markup hand-off)
E20.07	ENTRY-LEGAL	C. Open-Interest Attribution (Step 19)	churn	Day-rank of churn
E20.08	ENTRY-LEGAL	C. Open-Interest Attribution (Step 19)	churn	Churn acceleration
E20.09	ENTRY-LEGAL	C. Open-Interest Attribution (Step 19)	churn	OI-neutrality corroboration (|dOI| small while churn high)
E20.10	ENTRY-LEGAL	C. Open-Interest Attribution (Step 19)	churn	Hand-off inference tag: distribution vs accumulation candidate
E21.01	ENTRY-LEGAL	C. Open-Interest Attribution (Step 19)	delta_oi	Sign: BUILD vs DRAIN
E21.02	ENTRY-LEGAL	C. Open-Interest Attribution (Step 19)	delta_oi	Magnitude / vol fraction
E21.03	ENTRY-LEGAL	C. Open-Interest Attribution (Step 19)	delta_oi	z / percentile
E21.04	ENTRY-LEGAL	C. Open-Interest Attribution (Step 19)	delta_oi	BUILD streak / DRAIN streak lengths
E21.05	ENTRY-LEGAL	C. Open-Interest Attribution (Step 19)	delta_oi	dOI x delta quadrant: new-money push / covering push / distribution / unwind-drop
E21.06	ENTRY-LEGAL	C. Open-Interest Attribution (Step 19)	delta_oi	OI-NEUTRAL flag: |dOI|/vol < 0.22 (Y/N)
E21.07	ENTRY-LEGAL	C. Open-Interest Attribution (Step 19)	delta_oi	BUILD ramp value (0.08-0.18)
E21.08	ENTRY-LEGAL	C. Open-Interest Attribution (Step 19)	delta_oi	dOI acceleration
E21.09	ENTRY-LEGAL	C. Open-Interest Attribution (Step 19)	delta_oi	Trailing-N cumulative dOI (positioning trend)
E21.10	ENTRY-LEGAL	C. Open-Interest Attribution (Step 19)	delta_oi	Day-rank of |dOI|
E22.01	ENTRY-LEGAL	C. Open-Interest Attribution (Step 19)	open/close/churn fractions	OPEN_OI ramp value (0.10-0.50)
E22.02	ENTRY-LEGAL	C. Open-Interest Attribution (Step 19)	open/close/churn fractions	DRAIN_OI ramp value (0.05-0.45)
E22.03	ENTRY-LEGAL	C. Open-Interest Attribution (Step 19)	open/close/churn fractions	CLOSE_FLOW ramp value (0.15-0.50)
E22.04	ENTRY-LEGAL	C. Open-Interest Attribution (Step 19)	open/close/churn fractions	CHURN ramp value (0.55-0.90)
E22.05	ENTRY-LEGAL	C. Open-Interest Attribution (Step 19)	open/close/churn fractions	OI_NEUTRAL ramp value (0.05-0.22)
E22.06	ENTRY-LEGAL	C. Open-Interest Attribution (Step 19)	open/close/churn fractions	BUILD ramp value (0.08-0.18)
E22.07	ENTRY-LEGAL	C. Open-Interest Attribution (Step 19)	open/close/churn fractions	Dominant-component label (which fraction leads)
E22.08	ENTRY-LEGAL	C. Open-Interest Attribution (Step 19)	open/close/churn fractions	Component ENTROPY (how mixed the bucket's OI story is)
E22.09	ENTRY-LEGAL	C. Open-Interest Attribution (Step 19)	open/close/churn fractions	Open:close ratio
E22.10	ENTRY-LEGAL	C. Open-Interest Attribution (Step 19)	open/close/churn fractions	Long-side vs short-side initiative index
E23.01	ENTRY-LEGAL	D. Effort / Result (Step 4)	buyer_er	Raw value / log value
E23.02	ENTRY-LEGAL	D. Effort / Result (Step 4)	buyer_er	z vs trailing-30 (the baseline convention)
E23.03	ENTRY-LEGAL	D. Effort / Result (Step 4)	buyer_er	Multiple vs trailing mean (stats-box x-figure)
E23.04	ENTRY-LEGAL	D. Effort / Result (Step 4)	buyer_er	Percentile vs window
E23.05	ENTRY-LEGAL	D. Effort / Result (Step 4)	buyer_er	HOT flag: >= 1.5x baseline (Y/N)
E23.06	ENTRY-LEGAL	D. Effort / Result (Step 4)	buyer_er	Hot streak length
E23.07	ENTRY-LEGAL	D. Effort / Result (Step 4)	buyer_er	buyer_er / seller_er ratio (effort dominance)
E23.08	ENTRY-LEGAL	D. Effort / Result (Step 4)	buyer_er	Effort acceleration vs prior
E23.09	ENTRY-LEGAL	D. Effort / Result (Step 4)	buyer_er	Day-rank of buyer effort
E23.10	ENTRY-LEGAL	D. Effort / Result (Step 4)	buyer_er	Effort-hot leg value for exhaustion gating
E24.01	ENTRY-LEGAL	D. Effort / Result (Step 4)	seller_er	Raw value / log value
E24.02	ENTRY-LEGAL	D. Effort / Result (Step 4)	seller_er	z vs trailing-30
E24.03	ENTRY-LEGAL	D. Effort / Result (Step 4)	seller_er	Multiple vs trailing mean
E24.04	ENTRY-LEGAL	D. Effort / Result (Step 4)	seller_er	Percentile
E24.05	ENTRY-LEGAL	D. Effort / Result (Step 4)	seller_er	HOT flag: >= 1.5x (Y/N)
E24.06	ENTRY-LEGAL	D. Effort / Result (Step 4)	seller_er	Hot streak
E24.07	ENTRY-LEGAL	D. Effort / Result (Step 4)	seller_er	seller_er / buyer_er ratio
E24.08	ENTRY-LEGAL	D. Effort / Result (Step 4)	seller_er	Effort acceleration
E24.09	ENTRY-LEGAL	D. Effort / Result (Step 4)	seller_er	Day-rank
E24.10	ENTRY-LEGAL	D. Effort / Result (Step 4)	seller_er	Effort-hot leg value for exhaustion gating
E25.01	ENTRY-LEGAL	D. Effort / Result (Step 4)	effort_ticks	Raw dispersion (ticks)
E25.02	ENTRY-LEGAL	D. Effort / Result (Step 4)	effort_ticks	Percentile / z vs window
E25.03	ENTRY-LEGAL	D. Effort / Result (Step 4)	effort_ticks	NARROW-auction flag (bottom quintile)
E25.04	ENTRY-LEGAL	D. Effort / Result (Step 4)	effort_ticks	WIDE-auction flag (top quintile)
E25.05	ENTRY-LEGAL	D. Effort / Result (Step 4)	effort_ticks	Dispersion vs range ratio (profile fatness)
E25.06	ENTRY-LEGAL	D. Effort / Result (Step 4)	effort_ticks	Narrow/wide streak
E25.07	ENTRY-LEGAL	D. Effort / Result (Step 4)	effort_ticks	Dispersion per unit volume
E25.08	ENTRY-LEGAL	D. Effort / Result (Step 4)	effort_ticks	Regime mean of dispersion
E25.09	ENTRY-LEGAL	D. Effort / Result (Step 4)	effort_ticks	Auction-type inference: compressed grind vs sweep
E25.10	ENTRY-LEGAL	D. Effort / Result (Step 4)	effort_ticks	Floor-hit flag (dispersion at the 1-tick floor)
E26.01	ENTRY-LEGAL	D. Effort / Result (Step 4)	B-E/R, S-E/R anomaly	Buyer multiple / seller multiple values
E26.02	ENTRY-LEGAL	D. Effort / Result (Step 4)	B-E/R, S-E/R anomaly	Hotter side label
E26.03	ENTRY-LEGAL	D. Effort / Result (Step 4)	B-E/R, S-E/R anomaly	BOTH-HOT flag (Y/N)
E26.04	ENTRY-LEGAL	D. Effort / Result (Step 4)	B-E/R, S-E/R anomaly	Multiple percentile vs day
E26.05	ENTRY-LEGAL	D. Effort / Result (Step 4)	B-E/R, S-E/R anomaly	Hot-side streak
E26.06	ENTRY-LEGAL	D. Effort / Result (Step 4)	B-E/R, S-E/R anomaly	First-hot-after-quiet flag (regime break)
E26.07	ENTRY-LEGAL	D. Effort / Result (Step 4)	B-E/R, S-E/R anomaly	Multiple slope over last 5 buckets
E26.08	ENTRY-LEGAL	D. Effort / Result (Step 4)	B-E/R, S-E/R anomaly	Side-switch of hotness flag
E26.09	ENTRY-LEGAL	D. Effort / Result (Step 4)	B-E/R, S-E/R anomaly	Effort-hot x no-result divergence candidate (pair with body)
E26.10	ENTRY-LEGAL	D. Effort / Result (Step 4)	B-E/R, S-E/R anomaly	Anomaly co-fire with velocity flag (Y/N)
